rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,1,148,"2356524"
2,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,2,8,"2099028"
3,"spotify:track:1ApIGNgp1azc0qB61x4GzG","Hngle, Ari","Không Buông","Universal Music Indochina Distributed Labels",2,4,36,"840024"
4,"spotify:track:5xVCfx47vCXuLdpfbepqEo","HIEUTHUHAI","Người Im Lặng Gặp Người Hay Nói","M Music Records",2,3,10,"818203"
5,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",1,6,131,"779147"
6,"spotify:track:2fCwv2ppU5nTRTckomIGsd","CORTIS","REDRED","Republic Records – CORTIS",5,5,4,"706094"
7,"spotify:track:7uUuftbcr94tzGOCJSM25u","Low G, JustaTee","In Love","M Music Records",2,8,29,"670536"
8,"spotify:track:4nXrVH5xwN1w6TpmP7uu8n","HIEUTHUHAI, marzuz","Exit Sign","M Music Records",4,9,135,"658281"
9,"spotify:track:73RcFjiDtStfP3GCW44vJu","Minh Huy, Pinny","Ngày Rời Chuyến Bay","12 trái lê",9,10,6,"654543"
10,"spotify:track:6Qwl74olNi1rl65FNxG5We","marzuz, Changg","Và Thế Giới Đã Mất Đi Một Người Cô Đơn","Universal Music Indochina",7,7,25,"602143"
11,"spotify:track:7bFFUPBiF15n8m8RziqS4o","GREY D","dự báo thời tiết hôm nay mưa","Universal Music Indochina Distributed Labels",7,13,182,"593437"
12,"spotify:track:0NyrI1tMvqcK3vU5z9DMdI","JustaTee","She Neva Knows","NGUYEN THANH TUAN",12,15,15,"512446"
13,"spotify:track:5KYv3kORBKUmVEoqbRRWxt","Bảo Anh, Táo","Từng Là Của Nhau","Yin Yang Media",7,11,36,"509861"
14,"spotify:track:2a5hng9yXtbjtTVVm9UviC","VCT","Mơ","Universal Music Indochina Distributed Labels",6,16,194,"505039"
15,"spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7","Justin Bieber, Nicki Minaj","Beauty And A Beat","RBMG/Def Jam",9,12,5,"475448"
16,"spotify:track:42AOwjuMmIN1ioyyWB60Lw","GREY D","hoá ra…","Universal Music Indochina Distributed Labels",5,14,7,"472440"
17,"spotify:track:6GM4ZOBDcDroldUxI8GZ2B","VSTRA, Tyronee","Ai Ngoài Anh","CDSL",2,18,19,"471463"
18,"spotify:track:2wZAvkgiOE5tyrnqhB69KA","Sơn Tùng M-TP","Âm Thầm Bên Em","Universal Music Indochina Distributed Labels",9,20,290,"459886"
19,"spotify:track:4BdB08vuS9r4HOoY7GkAxT","SOOBIN","Nếu Ngày Ấy","SS LABEL",18,22,73,"440972"
20,"spotify:track:41DlPJXKTCypXdf2eSqa03","Vũ., Binz","bình yên","WM Vietnam",4,24,89,"439371"
21,"spotify:track:5cn5oHiXJTLiuthgbgfkMh","VCT","Vết Mưa","Universal Music Indochina Distributed Labels",19,21,114,"437071"
22,"spotify:track:1K0HQ30Wc11okzlcnFA7Ub","HIEUTHUHAI","Không Thể Say","M Music Records",7,17,160,"433539"
23,"spotify:track:0t8g66pWghsU8MphjUQIdg","Phùng Khánh Linh, 30 Pictures","Cảm Ơn Người Đã Thức Cùng Tôi","+84 Vietnam New Wave",5,19,12,"429909"
24,"spotify:track:6kCU6i8iRrAAmJJ8Sj4JYC","Shartnuss, Phankeo, Tr.D","Nắng có mang em về","MaiDao Music",4,25,118,"417893"
25,"spotify:track:7Ldcvhcl4Xj4eOTSWpZus5","CORTIS","ACAI","Republic Records – CORTIS",25,51,2,"409185"
26,"spotify:track:6Zoi4ue74UdUeYmHXItXnf","B Ray, V#","Vùng An Toàn","MIXUS",3,32,45,"406665"
27,"spotify:track:7diH1qnFziArYzynk3vkr6","CORTIS","TNT","Republic Records – CORTIS",27,50,2,"405944"
28,"spotify:track:3T7XHOdRcyhKU3QCB6kZG3","MIN, Dangrangto, antransax","chẳng phải tình đầu sao đau đến thế","WM Vietnam",2,28,29,"381271"
29,"spotify:track:6mKMGpkgP2cH5gmqILWe7b","Fishy","vết thương","LOOPS Music",15,30,52,"377855"
30,"spotify:track:6GUKRhIsWxA7VuZW8MKQLG","Dương Domic","Không Thời Gian","DAO Entertainment",2,35,34,"375449"
31,"spotify:track:11T61UpoNbbcewOMl1kcWN","NHONHO","Dạo Bước HongKong 1999","NHONHO",5,27,7,"364809"
32,"spotify:track:3Ids3RXurYBgySph53qWnB","buitruonglinh","Từng Ngày Yêu Em","LOOPS Music",9,36,71,"364659"
33,"spotify:track:3dbfL7nHOZlM4adzLHNnB3","Juky San, buitruonglinh","Người Đầu Tiên","DAO Entertainment",2,42,28,"364113"
34,"spotify:track:4CUvVaAYuXtvYURLFz7EIL","Emcee L (Da LAB), Da LAB, Muộii (Starry Night)","Chuyện Đôi Ta (feat. Muộii)","Yin Yang Media",3,38,232,"363974"
35,"spotify:track:5WkuMbkHX7yR7nnBKCn7tV","RIO","vạn vật như muốn ta bên nhau","DAO Entertainment",6,49,57,"361538"
36,"spotify:track:6n2xOcqQrNOY0IfgATSwWs","Puppy, Dangrangto","Wrong Times","MaiDao Music",3,29,132,"361405"
37,"spotify:track:27Z9T0mSWHYWSj9SNOGvyt","JustaTee, Phương Ly","Thằng Điên","NGUYEN THANH TUAN",2,37,197,"361195"
38,"spotify:track:6Hs2xIgB8nzyGFDvVA8lFa","Madihu, Low G","Có Em","NGUYEN CHI PHONG",4,44,212,"356766"
39,"spotify:track:0fGJiHH6xSUJU1MAVjxq5m","Karik, GDucky","Bạn Đời","WM Vietnam",5,31,137,"354021"
40,"spotify:track:3x7Hh3zsE1wcXCU2G8l5tP","SOOBIN","DANCING IN THE DARK","SS LABEL",3,43,61,"352906"
41,"spotify:track:3J3nv18iIrOhca1ZWNeuyW","JustaTee","Đã Lỡ Yêu Em Nhiều","NGUYEN THANH TUAN",36,45,171,"350574"
42,"spotify:track:5tdz7T4hTxA1ipJMBe24uX","AMEE","ex's hate me, Pt.2","Yin Yang Media",13,39,186,"349481"
43,"spotify:track:3DLtPObflLQBodZN8qGODT","JustaTee, BigDaddy","2AM","WM Vietnam",18,34,211,"345859"
44,"spotify:track:4gaxEUZE4z9pJAVTSFwgQI","14 Casper, Bon Nghiêm, buitruonglinh","một đời","DANDERLÉON",14,33,111,"345521"
45,"spotify:track:0hB27T4dy9qBUcZabsrLOj","HIEUTHUHAI","Dạo Gần Đây Anh Thấy Anh Không Bằng Ai Hết","M Music Records",16,26,3,"343067"
46,"spotify:track:5rSAUmbOg4giDrM29vUyHe","Sơn Tùng M-TP","Nơi Này Có Anh","Universal Music Indochina Distributed Labels",5,48,362,"340561"
47,"spotify:track:6lRlM6bClcoOBLQi0zfA34","HIEUTHUHAI, Hoàng Tôn","Chờ Tới Khi Anh Về","M Music Records",23,23,3,"337132"
