rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,1,149,"2394661"
2,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,2,9,"1875162"
3,"spotify:track:1ApIGNgp1azc0qB61x4GzG","Hngle, Ari","Không Buông","Universal Music Indochina Distributed Labels",2,3,37,"897297"
4,"spotify:track:5xVCfx47vCXuLdpfbepqEo","HIEUTHUHAI","Người Im Lặng Gặp Người Hay Nói","M Music Records",2,4,11,"809139"
5,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",1,5,132,"779071"
6,"spotify:track:73RcFjiDtStfP3GCW44vJu","Minh Huy, Pinny","Ngày Rời Chuyến Bay","12 trái lê",6,9,7,"708270"
7,"spotify:track:7uUuftbcr94tzGOCJSM25u","Low G, JustaTee","In Love","M Music Records",2,7,30,"666899"
8,"spotify:track:4nXrVH5xwN1w6TpmP7uu8n","HIEUTHUHAI, marzuz","Exit Sign","M Music Records",4,8,136,"648955"
9,"spotify:track:7bFFUPBiF15n8m8RziqS4o","GREY D","dự báo thời tiết hôm nay mưa","Universal Music Indochina Distributed Labels",7,11,183,"608666"
10,"spotify:track:2fCwv2ppU5nTRTckomIGsd","CORTIS","REDRED","Republic Records – CORTIS",5,6,5,"585122"
11,"spotify:track:6Qwl74olNi1rl65FNxG5We","marzuz, Changg","Và Thế Giới Đã Mất Đi Một Người Cô Đơn","Universal Music Indochina",7,10,26,"561327"
12,"spotify:track:2a5hng9yXtbjtTVVm9UviC","VCT","Mơ","Universal Music Indochina Distributed Labels",6,14,195,"556659"
13,"spotify:track:0NyrI1tMvqcK3vU5z9DMdI","JustaTee","She Neva Knows","NGUYEN THANH TUAN",12,12,16,"537065"
14,"spotify:track:2wZAvkgiOE5tyrnqhB69KA","Sơn Tùng M-TP","Âm Thầm Bên Em","Universal Music Indochina Distributed Labels",9,18,291,"514374"
15,"spotify:track:5KYv3kORBKUmVEoqbRRWxt","Bảo Anh, Táo","Từng Là Của Nhau","Yin Yang Media",7,13,37,"489122"
16,"spotify:track:41DlPJXKTCypXdf2eSqa03","Vũ., Binz","bình yên","WM Vietnam",4,20,90,"464111"
17,"spotify:track:2o4dDfLK6NVI7TjBm5VoMv","Lou Hoàng, Miu Lê","Yêu Một Người Có Lẽ","Onlyc Entertainment",17,68,222,"456281"
18,"spotify:track:4BdB08vuS9r4HOoY7GkAxT","SOOBIN","Nếu Ngày Ấy","SS LABEL",18,19,74,"451807"
19,"spotify:track:6GM4ZOBDcDroldUxI8GZ2B","VSTRA, Tyronee","Ai Ngoài Anh","CDSL",2,17,20,"451282"
20,"spotify:track:5cn5oHiXJTLiuthgbgfkMh","VCT","Vết Mưa","Universal Music Indochina Distributed Labels",19,21,115,"447075"
21,"spotify:track:6Zoi4ue74UdUeYmHXItXnf","B Ray, V#","Vùng An Toàn","MIXUS",3,26,46,"444052"
22,"spotify:track:1K0HQ30Wc11okzlcnFA7Ub","HIEUTHUHAI","Không Thể Say","M Music Records",7,22,161,"435968"
23,"spotify:track:42AOwjuMmIN1ioyyWB60Lw","GREY D","hoá ra…","Universal Music Indochina Distributed Labels",5,16,8,"433403"
24,"spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7","Justin Bieber, Nicki Minaj","Beauty And A Beat","RBMG/Def Jam",9,15,6,"415607"
25,"spotify:track:0t8g66pWghsU8MphjUQIdg","Phùng Khánh Linh, 30 Pictures","Cảm Ơn Người Đã Thức Cùng Tôi","+84 Vietnam New Wave",5,23,13,"412465"
