rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,1,150,"2331269"
2,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,2,10,"1723176"
3,"spotify:track:1ApIGNgp1azc0qB61x4GzG","Hngle, Ari","Không Buông","Universal Music Indochina Distributed Labels",2,3,38,"911671"
4,"spotify:track:0a32EBPjqAe47cYDPE5Ia5","Binz, SOOBIN","Em (feat. SOOBIN)","SS LABEL",4,-1,1,"857352"
5,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",1,5,133,"796857"
6,"spotify:track:5xVCfx47vCXuLdpfbepqEo","HIEUTHUHAI","Người Im Lặng Gặp Người Hay Nói","M Music Records",2,4,12,"720760"
7,"spotify:track:73RcFjiDtStfP3GCW44vJu","Minh Huy, Pinny","Ngày Rời Chuyến Bay","12 trái lê",6,6,8,"688856"
8,"spotify:track:7uUuftbcr94tzGOCJSM25u","Low G, JustaTee","In Love","M Music Records",2,7,31,"665699"
9,"spotify:track:4nXrVH5xwN1w6TpmP7uu8n","HIEUTHUHAI, marzuz","Exit Sign","M Music Records",4,8,137,"628285"
10,"spotify:track:0NyrI1tMvqcK3vU5z9DMdI","JustaTee","She Neva Knows","NGUYEN THANH TUAN",10,13,17,"626048"
11,"spotify:track:7bFFUPBiF15n8m8RziqS4o","GREY D","dự báo thời tiết hôm nay mưa","Universal Music Indochina Distributed Labels",7,9,184,"617954"
12,"spotify:track:6Qwl74olNi1rl65FNxG5We","marzuz, Changg","Và Thế Giới Đã Mất Đi Một Người Cô Đơn","Universal Music Indochina",7,11,27,"525474"
13,"spotify:track:2a5hng9yXtbjtTVVm9UviC","VCT","Mơ","Universal Music Indochina Distributed Labels",6,12,196,"510607"
14,"spotify:track:2fCwv2ppU5nTRTckomIGsd","CORTIS","REDRED","Republic Records – CORTIS",5,10,6,"490144"
15,"spotify:track:2wZAvkgiOE5tyrnqhB69KA","Sơn Tùng M-TP","Âm Thầm Bên Em","Universal Music Indochina Distributed Labels",9,14,292,"489824"
16,"spotify:track:41DlPJXKTCypXdf2eSqa03","Vũ., Binz","bình yên","WM Vietnam",4,16,91,"464647"
17,"spotify:track:6Zoi4ue74UdUeYmHXItXnf","B Ray, V#","Vùng An Toàn","MIXUS",3,21,47,"464149"
18,"spotify:track:4BdB08vuS9r4HOoY7GkAxT","SOOBIN","Nếu Ngày Ấy","SS LABEL",18,18,75,"454128"
19,"spotify:track:5KYv3kORBKUmVEoqbRRWxt","Bảo Anh, Táo","Từng Là Của Nhau","Yin Yang Media",7,15,38,"452581"
20,"spotify:track:4CUvVaAYuXtvYURLFz7EIL","Emcee L (Da LAB), Da LAB, Muộii (Starry Night)","Chuyện Đôi Ta (feat. Muộii)","Yin Yang Media",3,26,234,"443391"
21,"spotify:track:6GM4ZOBDcDroldUxI8GZ2B","VSTRA, Tyronee","Ai Ngoài Anh","CDSL",2,19,21,"442509"
22,"spotify:track:6mKMGpkgP2cH5gmqILWe7b","Fishy","vết thương","LOOPS Music",15,28,54,"437288"
23,"spotify:track:27Z9T0mSWHYWSj9SNOGvyt","JustaTee, Phương Ly","Thằng Điên","NGUYEN THANH TUAN",2,29,199,"420785"
24,"spotify:track:3J3nv18iIrOhca1ZWNeuyW","JustaTee","Đã Lỡ Yêu Em Nhiều","NGUYEN THANH TUAN",24,37,173,"410070"
25,"spotify:track:0t8g66pWghsU8MphjUQIdg","Phùng Khánh Linh, 30 Pictures","Cảm Ơn Người Đã Thức Cùng Tôi","+84 Vietnam New Wave",5,25,14,"406765"
26,"spotify:track:5cn5oHiXJTLiuthgbgfkMh","VCT","Vết Mưa","Universal Music Indochina Distributed Labels",19,20,116,"406009"
27,"spotify:track:3T7XHOdRcyhKU3QCB6kZG3","MIN, Dangrangto, antransax","chẳng phải tình đầu sao đau đến thế","WM Vietnam",2,33,31,"403213"
28,"spotify:track:1MiJk3dXC5jzhvLFP0dUM7","Da LAB","Thức Giấc","Yin Yang Media",1,46,255,"398388"
29,"spotify:track:1K0HQ30Wc11okzlcnFA7Ub","HIEUTHUHAI","Không Thể Say","M Music Records",7,22,162,"396669"
30,"spotify:track:42AOwjuMmIN1ioyyWB60Lw","GREY D","hoá ra…","Universal Music Indochina Distributed Labels",5,23,9,"386139"
31,"spotify:track:5rSAUmbOg4giDrM29vUyHe","Sơn Tùng M-TP","Nơi Này Có Anh","Universal Music Indochina Distributed Labels",5,31,364,"385480"
32,"spotify:track:2o4dDfLK6NVI7TjBm5VoMv","Lou Hoàng, Miu Lê","Yêu Một Người Có Lẽ","Onlyc Entertainment",17,17,223,"385285"
33,"spotify:track:3DLtPObflLQBodZN8qGODT","JustaTee, BigDaddy","2AM","WM Vietnam",18,27,213,"383521"
34,"spotify:track:11T61UpoNbbcewOMl1kcWN","NHONHO","Dạo Bước HongKong 1999","NHONHO",5,30,9,"376867"
35,"spotify:track:3x7Hh3zsE1wcXCU2G8l5tP","SOOBIN","DANCING IN THE DARK","SS LABEL",3,36,63,"374554"
36,"spotify:track:3Ids3RXurYBgySph53qWnB","buitruonglinh","Từng Ngày Yêu Em","LOOPS Music",9,35,73,"372783"
37,"spotify:track:0fGJiHH6xSUJU1MAVjxq5m","Karik, GDucky","Bạn Đời","WM Vietnam",5,32,139,"368373"
38,"spotify:track:6VXVYATpQXEIoZ97NnWCmn","Madihu, Vũ.","Vì Anh Đâu Có Biết","WM Vietnam",2,47,199,"366455"
39,"spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7","Justin Bieber, Nicki Minaj","Beauty And A Beat","RBMG/Def Jam",9,24,7,"357546"
40,"spotify:track:4UC3NBjtqbYcqPqRq1s57D","Lyly","24h","WM Vietnam",40,54,54,"355051"
41,"spotify:track:4gaxEUZE4z9pJAVTSFwgQI","14 Casper, Bon Nghiêm, buitruonglinh","một đời","DANDERLÉON",14,40,113,"354791"
42,"spotify:track:5tdz7T4hTxA1ipJMBe24uX","AMEE","ex's hate me, Pt.2","Yin Yang Media",13,39,188,"354342"
43,"spotify:track:1DVYafsLmcQySKkJnY4RCs","MAYDAYs, Minh Tốc & Lam","Phép Màu - Đàn Cá Gỗ Original Soundtrack","Universal Music Indochina Distributed Labels",2,48,65,"348787"
44,"spotify:track:6Hs2xIgB8nzyGFDvVA8lFa","Madihu, Low G","Có Em","NGUYEN CHI PHONG",4,38,214,"344429"
45,"spotify:track:3dbfL7nHOZlM4adzLHNnB3","Juky San, buitruonglinh","Người Đầu Tiên","DAO Entertainment",2,34,30,"337311"
46,"spotify:track:7mblTCdc14ylJ1JW71MODb","buitruonglinh","Giờ Thì","LOOPS Music",11,41,76,"333589"
47,"spotify:track:4MCP9l0QB9YN2LCkIy8mz4","Obito","Dạo Này","12 trái lê",8,43,22,"331644"
48,"spotify:track:6nInHlewtrNKguNKlXt0Ur","Shartnuss, Phankeo, Tr.D","Nắng có mang em về","MaiDao Music",4,45,120,"324863"
49,"spotify:track:58ZlEBxBrzISXtmcOPo476","SOOBIN","giá như","SS LABEL",13,44,111,"324109"
50,"spotify:track:4nyoalDFgUaZOzIKqj3aS5","Đặng Vĩnh Thịnh, BMZ, Nguyễn Trung Đức","Ngàn Năm Ánh Sáng","BMZ JSC",5,49,42,"322475"
51,"spotify:track:6n2xOcqQrNOY0IfgATSwWs","Puppy, Dangrangto","Wrong Times","MaiDao Music",3,55,134,"317377"
52,"spotify:track:1r9gNSD1WUFscqTSA2Rcet","MAYDAYs","Hẹn Lần Sau","Universal Music Indochina Distributed Labels",13,63,23,"311434"
53,"spotify:track:5BTzf3doGTigDIYUFtbkI9","Emcee L (Da LAB), Da LAB, Badbies","Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies)","Yin Yang Media",5,72,283,"309169"
54,"spotify:track:31VNCmwspR7nVJ6kruUuJt","Sơn Tùng M-TP","Đừng Làm Trái Tim Anh Đau","Universal Music Indochina Distributed Labels",1,60,103,"302830"
55,"spotify:track:2pm7K14nHj2fLrpU8j9bit","PC","10 Ngàn Năm","12 trái lê",27,51,207,"299911"
56,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,50,138,"299419"
57,"spotify:track:1UhQ0VwKq2PGnLiAZOJYV1","Binz","Em","SS LABEL",4,-1,27,"296948"
58,"spotify:track:6ag0c7tBr3PIqPb00C2rK4","VCT, Negav, Jey B, Ngô Kiến Huy","NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN - KHÔNG ĐAU NỮA RỒI","VIE NETWORK CORPORATION / ADA",45,66,13,"294843"
59,"spotify:track:3vSmjbKFByNM6l31NmFlmB","GREY D, MIN","đôi mắt kẻ tình si","Universal Music Indochina Distributed Labels",12,53,9,"292096"
60,"spotify:track:4QalnBNnw9uK1dj543nf76","Dương Domic","Không Thời Gian","DAO Entertainment",2,61,36,"290984"
61,"spotify:track:7Ldcvhcl4Xj4eOTSWpZus5","CORTIS","ACAI","Republic Records – CORTIS",25,42,4,"286875"
62,"spotify:track:25h0TqC9H3BcMA7KjK5nHK","GREY D, tlinh","vaicaunoicokhiennguoithaydoi","Universal Music Indochina Distributed Labels",2,57,206,"283391"
63,"spotify:track:66v7AvDs5gZfmkJgFMMtHL","Công Dương, Nguyễn Lâm Thảo Tâm, 30 Pictures","A Little Dream Of Me","+84 Vietnam New Wave",22,70,12,"282259"
64,"spotify:track:5ouxRyInSdRBQubu3KTd97","tlinh, 2Pillz","nếu lúc đó","M Music Records",1,75,169,"282078"
65,"spotify:track:54UNNgtE3zzERwTuWSQLqd","MONSTAR, GREY D, VƯƠNG BÌNH","có hẹn với thanh xuân","Yin Yang Media",5,95,176,"278900"
66,"spotify:track:71luUs5K7N1fdf7ecMKg04","B Ray","Cho Con (Lullaby pt.2)","Great Entertainment/Sony Music",66,-1,1,"278439"
67,"spotify:track:1xoadYaxtOp9gHDwgmPDuz","JSOL, Hoàng Duyên","Sài Gòn Hôm Nay Mưa","Universal Music Indochina",3,56,261,"276287"
68,"spotify:track:2dPJtlvoa3GDowCh035M8P","Vũ.","Nếu Những Tiếc Nuối","WM Vietnam",33,59,58,"275215"
69,"spotify:track:39KWnPNEvbXt423CzjvBfA","SOOBIN","Anh Đã Quen Với Cô Đơn","WM Vietnam",40,58,80,"271139"
70,"spotify:track:0eAuGrXyGFYwur9ARUe7LJ","Malcolm Todd","Earrings","Columbia",70,86,5,"270536"
71,"spotify:track:3VkV6L37ub0rtuYQoawAqz","Lil Zpoet","Tình Mình Lạ Kì","LiL Z Poet",45,67,17,"268105"
72,"spotify:track:3P3rcI48wwVEgxF5vPM6pG","Sơn Tùng M-TP","Buông Đôi Tay Nhau Ra","Universal Music Indochina Distributed Labels",7,81,150,"267804"
73,"spotify:track:0pavLg3wbL6PVXAgXoWv4S","24k.Right, Ngắn, Hipz","Một Nửa Sự Thật","Universal Music Indochina",73,128,8,"265436"
74,"spotify:track:0e6fZkLArSmDIHnZcIua7t","Vũ., Low G","Không Yêu Em Thì Yêu Ai?","WM Vietnam",19,64,87,"263856"
75,"spotify:track:1hPbWyZnUPaeAWbOSKwkXJ","Quang Đăng Trần","Anh Đã Không Biết Cách Yêu Em","338ENT",9,89,43,"257947"
76,"spotify:track:6jcLKVmEKAQIXIVHJZ8vzS","MONSTAR, GREY D, NICKY, VƯƠNG BÌNH","tình yêu chậm trễ","Yin Yang Media",46,78,180,"252926"
77,"spotify:track:5SzJs9cwYXdSm9G3xcXuA2","Phùng Khánh Linh","Hôm Nay Tôi Buồn","BLACK SWAN LABEL LLC.",13,69,161,"251723"
78,"spotify:track:0s7RyyUlQfd8mnnboHe18n","MANBO, HIEUTHUHAI, HURRYKNG","Hẹn Gặp Em Dưới Ánh Trăng","Gerdnang",20,87,115,"251341"
79,"spotify:track:5u5AsK8JLgkr154QHZjJqh","ANH TRAI ""SAY HI"", VCT, Karik, Negav, Ngô Kiến Huy, Jey B","NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN","Universal Music Indochina Distributed Labels",3,80,35,"250718"
80,"spotify:track:1o6cYDMHvKOfizi4d9Lqxr","W/N","id 072019","Universal Music Indochina Distributed Labels",3,76,148,"249690"
81,"spotify:track:2pBZoglJzsRk4UeVey8n0k","Việt Anh","Ngày Này Năm Ấy","338ENT",17,82,42,"245713"
82,"spotify:track:7diH1qnFziArYzynk3vkr6","CORTIS","TNT","Republic Records – CORTIS",27,52,4,"244492"
83,"spotify:track:4CVxKSRLUxqUuj2z9vn4fS","SOOBIN","Xin Đừng Lặng Im","HONG AN ENTERTAIMENT,.JSC",37,79,53,"242609"
84,"spotify:track:43zzuEWDotRcKlSFzrlJqs","Đạt G","Thêm Bao Nhiêu Lâu","12 trái lê",84,93,55,"242432"
85,"spotify:track:0Gi23nmOQ0eaPASq2VoMOW","RIO","vạn vật như muốn ta bên nhau","DAO Entertainment",6,83,59,"241806"
86,"spotify:track:6lRlM6bClcoOBLQi0zfA34","HIEUTHUHAI, Hoàng Tôn","Chờ Tới Khi Anh Về","M Music Records",23,77,5,"241769"
87,"spotify:track:2Pwou3Q2Cf59RxdX2V6MgV","Shiki","Có Đôi Điều","12 trái lê",10,74,74,"241587"
88,"spotify:track:2rKkfc4VZ74FQDc1FF1Zo6","BTS","Body to Body","BIGHIT MUSIC",5,84,10,"241207"
89,"spotify:track:4qJSUFwZFouto5VZUlln75","tlinh, Trung Trần","Thích Quá Rùi Nà","Universal Music Indochina Distributed Labels",34,62,297,"241185"
90,"spotify:track:0SmQ0UWeiHKQtxUej4Rem6","SOOBIN","Tháng Năm","Spacespeakers",6,85,184,"240962"
91,"spotify:track:6Q2oEdOhRjZ1DTv2a7j0lN","PC, Dick, tofutns","Ghé Qua","12 trái lê",61,88,297,"240522"
92,"spotify:track:1J3SmWwlYAG68LGKr86MVH","Sơn Tùng M-TP","Chúng Ta Của Hiện Tại","Universal Music Indochina Distributed Labels",1,73,284,"239683"
93,"spotify:track:7q1qYSyRkGT4ZaCc2ZQihP","Hoàng Tôn, Koo","Em Còn Nhớ Anh Không - Remastered","Hoàng Tôn",69,108,59,"238901"
94,"spotify:track:4TyQKEifYDWTfTSRwpxlYI","Quân A.P","Bông Hoa Đẹp Nhất","Great Entertainment",32,99,126,"236819"
95,"spotify:track:5C3fx9rdM4Bxf1MSOQC4Ym","Low G, Thắng","An Thần","M Music Records",2,103,240,"236242"
96,"spotify:track:27F22WcGDyl4Z2KylVJkXL","buitruonglinh","Đường Tôi Chở Em Về","Universal Music Indochina Distributed Labels",14,65,187,"235794"
97,"spotify:track:0hB27T4dy9qBUcZabsrLOj","HIEUTHUHAI","Dạo Gần Đây Anh Thấy Anh Không Bằng Ai Hết","M Music Records",16,68,5,"234613"
98,"spotify:track:19U8QkwGDiQnYtnNIlspuo","Ronboogz","Nói Dối","MaiDao Music",3,105,134,"234524"
99,"spotify:track:2ZBi1KpCR0grEWRNgySqwg","Hngle","Buông","Sony Music Entertainment",17,92,15,"233774"
100,"spotify:track:0JKEP4dB1riE6l7Kq5kJm1","Chillies","Em Đừng Khóc","WM Vietnam",3,98,68,"233586"
101,"spotify:track:36fgG6NiEuQXznNgf5y2Ck","T.R.I, Dangrangto, DONAL","một bài hát không vui mấy - Extended Version","Universal Music Indochina Distributed Labels",26,71,73,"233354"
102,"spotify:track:1zvL2X6HPrLfvtSY4DpopE","MIN","Em Mới Là Người Yêu Anh","MIN",1,142,158,"232922"
103,"spotify:track:5XfGQZA0ioQAWUjlyJRcHc","Shiki, Obito","1000 Ánh Mắt","12 trái lê",8,91,100,"230179"
104,"spotify:track:2w7jOvl0kpplNxisgfnCdT","Đức Trường, BMZ","Nếu Biết Đó Là Lần Cuối","BMZ",47,90,38,"228070"
105,"spotify:track:6E3P4uOfKHYXJLK6Q3s0Tj","JustaTee, Binz","Cơn Mưa Cuối","NGUYEN THANH TUAN",86,126,30,"226075"
106,"spotify:track:1UQNU5O9VttUgO16pxUnjw","Obito, Shiki, RPT MCK","Đánh Đổi","12 trái lê",7,94,138,"225500"
107,"spotify:track:6qgATU8r0ZPcPFPtZ5qA7B","Long Cao","Em Của Anh Đừng Của Ai!","Long Cao",107,109,4,"224375"
108,"spotify:track:3b34161QoxLwsqhWSPy9i5","Da LAB","Thanh Xuân","Sony Music Entertainment",1,122,402,"222944"
109,"spotify:track:4vfhartd7HDWGJbdVIycEu","Sơn Tùng M-TP","Muộn Rồi Mà Sao Còn","Universal Music Indochina Distributed Labels",1,114,266,"222257"
110,"spotify:track:51bYFYWODfYOZU0rwvjiCc","Binz, Đen","Cho Mình Em","Spacespeakers",32,150,131,"221240"
111,"spotify:track:0rR27Ayle8G7sKoCt8OWUr","Dương Domic","Mất Kết Nối","DAO Entertainment",2,131,79,"218074"
112,"spotify:track:317Lh6QCAz9JpWbV3oxrCf","Phùng Khánh Linh, Thành Luke","EM ĐAU","BLACK SWAN LABEL LLC.",62,117,20,"217858"
113,"spotify:track:54PbBpquVfhfrwRwvjSXbI","Charlie Puth, Selena Gomez","We Don't Talk Anymore (feat. Selena Gomez)","Artist Partner",71,107,287,"217462"
114,"spotify:track:102XJmW0OH1WATZMW9avu2","Binz, Obito","Nếu (feat. Obito)","SS LABEL",114,-1,1,"217097"
115,"spotify:track:5YPU2SdqR2pOsfFs5AW25q","Rum, NIT","Kém Duyên","Rum",115,183,8,"216742"
116,"spotify:track:0KA8tBqZ81mBe2po59GK5j","Đỗ Hoàng Long","Trạng Thái Mộng Mơ","Universal Music Indochina Distributed Labels",92,115,14,"213070"
117,"spotify:track:5U30iZBlmxkpHqzb1OSnBS","Rhymastic","Yêu 5","WM Vietnam",77,120,225,"212060"
118,"spotify:track:3bmpXHVie1GTy37OkXJ7Vc","BTS","2.0","BIGHIT MUSIC",11,106,10,"210541"
119,"spotify:track:2KadxdRVKWJy3ahMnlClhq","Hà An Huy","' CHẲNG CẦN BÌNH YÊN |","DAO Entertainment",119,-1,1,"209753"
120,"spotify:track:5Bti0azlFhMattVY76qFr9","Vũ.","Lạ Lùng","WM Vietnam",17,112,425,"209516"
121,"spotify:track:1LJyhnPdYGRLerwJd8CmL1","Vũ., Dear Jane","Những Lời Hứa Bỏ Quên","WM Vietnam",1,102,128,"207172"
122,"spotify:track:0oL2jCTf9P9a7flY5mCpYu","Wxrdie, JustaTee","Trở Về","Universal Music Indochina Distributed Labels",54,104,65,"206894"
123,"spotify:track:4Iz5EWPCAT8jYNk4IpLoll","buitruonglinh","Dù Cho Mai Về Sau","Yin Yang Media",10,111,270,"206860"
124,"spotify:track:20dAJsyno9ZoBLJtqgQnUI","BTS","Hooligan","BIGHIT MUSIC",8,118,10,"204534"
125,"spotify:track:5tmA5oQDF0ULqRI12LKCDw","JayKii","Chiều Hôm Ấy","The First Management",95,100,31,"203374"
126,"spotify:track:2Wjghh0RpiBquLsJ932X6R","Ronboogz","nhắn nhủ","MaiDao Music",14,134,128,"201050"
127,"spotify:track:4N99EuIjwSSFFFMDfTeOLU","buitruonglinh, Vũ Phụng Tiên","Em Không Khóc (feat. Vũ Phụng Tiên)","Yin Yang Media",62,136,186,"199261"
128,"spotify:track:6KIhgRkprgyJNERRMu7Quh","MIN","Có Em Chờ","MIN",117,133,55,"199041"
129,"spotify:track:0GXZXSDFSbJjqdGifjSaig","buitruonglinh","Sớm Như Vậy","Umusic Vietnam Co. Ltd. Distributed Labels",19,97,7,"197626"
